month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2015-01-01,Manhattan,1,LCL/LTD,M98,Off-Peak,142,198,71.7171717
2015-01-01,Manhattan,1,LCL/LTD,M98,Peak,315,540,58.3333333
2015-01-01,Manhattan,2,LCL/LTD,M1,Off-Peak,2631,3586,73.3686559
2015-01-01,Manhattan,2,LCL/LTD,M1,Peak,1114,1540,72.3376623
2015-01-01,Manhattan,2,LCL/LTD,M10,Off-Peak,3308,4136,79.9806576
2015-01-01,Manhattan,2,LCL/LTD,M10,Peak,1314,1610,81.6149068
2015-01-01,Manhattan,2,LCL/LTD,M100,Off-Peak,4385,5640,77.748227
2015-01-01,Manhattan,2,LCL/LTD,M100,Peak,1816,2322,78.208441
2015-01-01,Manhattan,2,LCL/LTD,M101,Off-Peak,7584,11879,63.8437579
2015-01-01,Manhattan,2,LCL/LTD,M101,Peak,2492,4077,61.123375
2015-01-01,Manhattan,2,LCL/LTD,M102,Off-Peak,4560,7056,64.6258503
2015-01-01,Manhattan,2,LCL/LTD,M102,Peak,1865,2774,67.2314348
2015-01-01,Manhattan,2,LCL/LTD,M103,Off-Peak,5556,7838,70.88543
2015-01-01,Manhattan,2,LCL/LTD,M103,Peak,2078,3166,65.6348705
2015-01-01,Manhattan,2,LCL/LTD,M104,Off-Peak,8176,10129,80.7187284
2015-01-01,Manhattan,2,LCL/LTD,M104,Peak,2946,3661,80.469817
2015-01-01,Manhattan,2,LCL/LTD,M106,Off-Peak,969,1124,86.2099644
2015-01-01,Manhattan,2,LCL/LTD,M106,Peak,433,486,89.0946502
2015-01-01,Manhattan,2,LCL/LTD,M11,Off-Peak,7093,9746,72.7785758
2015-01-01,Manhattan,2,LCL/LTD,M11,Peak,3348,4482,74.6987952
2015-01-01,Manhattan,2,LCL/LTD,M116,Off-Peak,4986,5624,88.655761
2015-01-01,Manhattan,2,LCL/LTD,M116,Peak,2040,2348,86.8824532
2015-01-01,Manhattan,2,LCL/LTD,M12,Off-Peak,889,1171,75.9180188
2015-01-01,Manhattan,2,LCL/LTD,M12,Peak,410,539,76.0667904
2015-01-01,Manhattan,2,LCL/LTD,M14A,Off-Peak,4056,5394,75.1946607
2015-01-01,Manhattan,2,LCL/LTD,M14A,Peak,1571,2021,77.7337952
2015-01-01,Manhattan,2,LCL/LTD,M14D,Off-Peak,9303,12297,75.6525982
